symbol,esg_score
MC.PA,12.17
OR.PA,20.1
RMS.PA,9.41
TTE,27.3
CDI.PA,17.51
SNY,21.2
SU.PA,11.32
AI.PA,12.76
EL.PA,20.37
BNP.PA,25.45
SAF.PA,24.42
CS.PA,16.43
DG.PA,26.93
DSY.PA,18.46
KER.PA,10.65
ACA.PA,22.67
RI.PA,17.8
BN.PA,19.85
ENGI.PA,29.6
CAP.PA,10.66
SGO.PA,21.91
ORAN,22.7
HO.PA,28.7
LR.PA,11.77
PUB.PA,10.25
ML.PA,12.33
VIE.PA,20.85
GLE.PA,18.6
BOP.F,12.51
SW.PA,22.38
EDEN.PA,16.6
AM.PA,35.8
EN.PA,35.2
AMUN.PA,17.7
BIM.PA,24.09
ADP.PA,17.84
BVI.PA,10.1
CA.PA,21.59
VIV.PA,11.1
RNO.PA,22.34
TEP.PA,12.97
FGR.PA,34.97
AC.PA,22.15
URW.PA,5.81
IPN.PA,25.58
GET.PA,9.6
GFC.PA,11.11
AKE.PA,20.44
RXL.PA,14.8
FDJ.VI,15.7
LI.PA,11.51
SK.PA,17.69
RF.PA,16.7
RCO.PA,24.2
SPIE.PA,9.8
ALD.PA,15.7
SOI.PA,22.4
ATE.PA,16.7
SCR.PA,18.42
ELIS.PA,17.0
COV.PA,7.86
ALO.PA,21.54
DEC.PA,13.49
NEOEN.PA,22.8
WLN.PA,12.6
NEX.PA,21.0
TKO.PA,12.6
MF.PA,8.85
AF.PA,30.0
FR.PA,10.69
FLY.PA,13.3
VIRP.PA,19.6
TRI.PA,12.9
BB.PA,26.87
UBI.PA,13.5
NK.PA,31.12
CSTM,22.2
MMB.PA,16.5
ICAD.PA,7.24
RUI.PA,30.7
COVH.PA,11.1
ETL.PA,13.6
OVH.PA,20.9
COFA.PA,18.0
ORP.PA,30.66
EXN.PA,21.3
TFI.PA,13.7
CBE.PA,31.6
ALTA.PA,13.7
MMT.PA,13.7
POM.PA,15.7
CRTO,17.6
VLTSA.PA,12.5
ABVX,33.8
SAVE.PA,36.5
FNAC.PA,12.8
VALN,28.5
BEN.PA,9.7
ATO.PA,13.67
OLG.PA,9.7
NBTX,23.9
CRI.PA,17.6
CLARI.PA,32.1
IPHA,32.1
CLLS,30.2
DBVT,25.9
SQNS,20
ALERS.PA,29.7
NACON.PA,18.4
SRP.PA,31.9
ALFOC.PA,15.9
MCPHY.PA,28.1
CO.PA,21.11
ALDNE.PA,23
AB.PA,33.8
ABCA.PA,30.2
BOI.PA,30.0
BON.PA,26.9
ELIOR.PA,28.4
IDL.PA,17.1
JCQ.PA,28.1
KOF.PA,17.8
LOUP.PA,28.6
MAU.PA,44.9
MDM.PA,12.4
MERY.PA,8.8
NXI.PA,16.0
PEUG.PA,12.6
QDT.PA,6.6
VAC.PA,26.2
STM,16.7
MT.AS,37.8
NVDA,13.5
AMZN,30.6
MSFT,15.2
AAPL,17.2
LLY,24.2
TSLA,25.3
GOOGL,24.1
GOOG,24.1
NFLX,16.3
MCD,26.0
UBER,25.7
NKE,18.9
WFC,36.2
SIE.DE,28.0
SBUX,23.7
ALVE.F,13.3
SAP.F,12.6
ASME.F,10.0
JPM,30.1
GS,32.1
WMT,25.3